study,name,title,author,year,abstract,cite,type,studies,url,doi
soep-is,1806,SOEP 1998 – Methodenbericht Erstbefragung der Stichprobe E zum Befragungsjahr 1998 (Welle 15) des Sozio-oekonomischen Panels,Infratest Burke Sozialforschung,2011,,Infratest Burke Sozialforschung. 2011: SOEP 1998 – Methodenbericht Erstbefragung der Stichprobe E zum Befragungsjahr 1998 (Welle 15) des Sozio-oekonomischen Panels. SOEP Survey Papers 33: Series B. Berlin: DIW/SOEP,36 Infratest Report,"SOEP-IS, SOEP-Core",http://hdl.handle.net/10419/80373,
soep-is,5495,SOEP-IS 2014 – Fragebogen für die SOEP-Innovations-Stichprobe,SOEP-IS Group,2016,,SOEP-IS Group. 2016: SOEP-IS 2014 – Fragebogen für die SOEP-Innovations-Stichprobe. SOEP Survey Papers 331 : Series A - Survey Instruments (Erhebungsinstrumente). Berlin: DIW Berlin,35 Other DIW Publication,soep.is,http://hdl.handle.net/10419/142782,
soep-is,6590,SOEP 2009 – Methodenbericht Innovationssample zum Befragungsjahr 2009 (Welle 26) des Sozio-oekonomischen Panels (Erstbefragung Stichprobe I),TNS Infratest Sozialforschung,2012,,TNS Infratest Sozialforschung. 2012: SOEP 2009 – Methodenbericht Innovationssample zum Befragungsjahr 2009 (Welle 26) des Sozio-oekonomischen Panels (Erstbefragung Stichprobe I). SOEP Survey Papers 73: Series B. Berlin: DIW/SOEP,36 Infratest Report,SOEP-IS,http://hdl.handle.net/10419/61556,
soep-is,7360,"SOEP Innovation Sample (SOEP-IS) — Description, Structure and Documentation","David Richter, Jürgen Schupp",2012,"The SOEP Group currently is preparing in addition to increasing the size of the core SOEP, to establish a new Innovation Sample (SOEP-IS). This will be established for the period 2012 to 2017 (with a cumulative number of presumably N=5,000 households). Now, in the year 2012, a new subsample is being added for SOEP IS that will also replace the previous SOEP pretest sample. Starting with the 2013 survey, the SOEP will determine the contents of SOEP IS through a competitive refereed application process for the “best” research questions and their operationalizations, and will distribute the SOEP-IS data as part of its regular data releases.","David Richter, Jürgen Schupp. 2012: SOEP Innovation Sample (SOEP-IS) — Description, Structure and Documentation. SOEPpapers 463. Berlin: DIW Berlin",32 SOEPpaper,soep.is,http://www.diw.de/documents/publikationen/73/diw_01.c.407141.de/diw_sp0463.pdf,
soep-is,7754,Internalized Gender Stereotypes Vary Across Socioeconomic Indicators,"Julia Dietrich, Konrad Schnabel, Tuulia Ortner, Alice Eagly, Rocio Garcia-Retamero, Lea Kröger, Elke Holst",2013,"In the following we aim to approach the question of why, in most domains of professional and economic life, women are more vulnerable than men to becoming targets of prejudice and discrimination by proposing that one important cause of this inequality is the presence of gender stereotypes in many domains of society. We describe two approaches employed to measure gender stereotypes: An explicit questionnaire based on rating scales and a newly developed Implicit Association Test assessing gender stereotypes representing instrumentality (i.e., agency) and expressivity (i.e., communion). We first present information on psychometric properties of each stereotype measure designed for this purpose. We then present preliminary data based on the SOEP Innovation Sample 2011 indicating differences in explicit stereotypes with reference to occupational position and income. Implicit stereotypic associations concerning expressivity increased with respondents’ age and stereotypic associations concerning instrumentality increased with household income, particularly among male participants. Finally, stereotypic associations were related simultaneously to occupational position and participants’ gender, such that differences between male and female participants were found in lower occupational positions for the Expressivity IAT and in higher occupational positions for the Instrumentality IAT. This finding indicates that individually held gender stereotypes are related to socioeconomic and social variables.","Julia Dietrich, Konrad Schnabel, Tuulia Ortner, Alice Eagly, Rocio Garcia-Retamero, Lea Kröger, Elke Holst. 2013: Internalized Gender Stereotypes Vary Across Socioeconomic Indicators. SOEPpapers 558. Berlin: DIW Berlin",32 SOEPpaper,SOEP-IS,http://www.diw.de/documents/publikationen/73/diw_01.c.421920.de/diw_sp0558.pdf,
soep-is,8389,SOEP-IS 2011 – Methodenbericht zum Befragungsjahr 2011 des SOEP-Innovationssamples,TNS Infratest Sozialforschung,2014,,TNS Infratest Sozialforschung. 2014: SOEP-IS 2011 – Methodenbericht zum Befragungsjahr 2011 des SOEP-Innovationssamples. SOEP Survey Papers 178: Series B. Berlin: DIW Berlin,35 Other DIW Publication,soep.is,http://hdl.handle.net/10419/96124,
soep-is,8390,SOEP-IS 2012 – Methodenbericht zum Befragungsjahr 2012/13 des SOEP-Innovationssamples,TNS Infratest Sozialforschung,2014,,TNS Infratest Sozialforschung. 2014: SOEP-IS 2012 – Methodenbericht zum Befragungsjahr 2012/13 des SOEP-Innovationssamples. SOEP Survey Papers 179: Series B. Berlin: DIW Berlin,35 Other DIW Publication,soep.is,http://hdl.handle.net/10419/96119,
soep-is,8414,SOEP-IS 2012 – KID: Pooled Dataset on Children,SOEP-IS Group,2014,,SOEP-IS Group. 2014: SOEP-IS 2012 – KID: Pooled Dataset on Children. SOEP Survey Papers 203: Series D. Berlin: DIW/SOEP,35 Other DIW Publication,soep.is,http://hdl.handle.net/10419/97282,
soep-is,8452,The standard portfolio choice problem in Germany,"Steffen Huck, Tobias Schmidt, Georg Weizsäcker",2019,We study behavior in an investment experiment conducted with a representative sample of German households (SOEP-IS). Respondents allocate a fixed budget between a safe asset and a risky asset whose returns are tied to the German stock market and earn monetary returns based on their decisions. Experimental investment choices correlate with beliefs about stock market returns and exhibit desirable external validity: They are a strong predictor for reallife stock market participation. The experimental set-up allows exogenous modification of the risky asset’s return but investments are inelastic except for financially savvy subsamples. A laboratory experiment accompanies the data collection and yields similar results.,"Steffen Huck, Tobias Schmidt, Georg Weizsäcker. 2019: The standard portfolio choice problem in Germany. RC TRR 190 Discussion Paper 171. Berlin: Rationality and Competition, Collaborative Research Center Transregio 190",30 Discussion Paper,SOEP-IS,https://epub.ub.uni-muenchen.de/69191/1/171.pdf,
soep-is,8799,Control Strivings in the Socio-Economic Panel (SOEP),"Ina Schöllgen, Denis Gerstorf, Jutta Heckhausen",2014,"The Motivational Theory of Life-Span Development (MTD) identifies motivational and self-regulatory strategies that people use to meet the challenges they face throughout life. The theory distinguishes control strivings related to goal engagement from those related to goal disengagement and goal reengagement. In the Innovation Sample of the Socio-Economic Panel (SOEP-IS), these control strivings were surveyed using 12-item scales for key domains of life: work, family, and health. In this report, we first present key concepts and principles of MTD and a brief overview of research using the theory. This provides the backdrop for our discussion of the relevance of control strivings for major thematic areas covered in the SOEP and for the proposed domain-specific assessment of control strivings. Second, we examine the reliability and factor structure of the scales, using data from the SOEP Innovation Sample collected in 2012. In a third and final step, we sketch possible projects that make use of the rich SOEP data so as to examine pivotal questions revolving around the nature of control strivings (changes) across adulthood and old age as well as their antecedents, correlates, and consequences. In line with predictions based on MTD, results revealed mostly moderate to high inter-item correlations for selective primary control, selective secondary control, and compensatory primary control, with all items loading on a single goal engagement factor. Our results further show that disengagement, self-protection and re-engagement are interrelated, but distinguishable strategies for dealing with unattainable goals.","Ina Schöllgen, Denis Gerstorf, Jutta Heckhausen. 2014: Control Strivings in the Socio-Economic Panel (SOEP). SOEPpapers 727. Berlin: DIW Berlin",32 SOEPpaper,"SOEP, SOEP-IS , SOEP-Core",http://www.diw.de/documents/publikationen/73/diw_01.c.495057.de/diw_sp0727.pdf,
