study,instrument,answer_list,value,label,label_de
soep-is,soep-is-2020-fgz,99,-1,No answer,Keine Angabe
soep-is,soep-is-2020-fgz,1,1,Yes,Ja
soep-is,soep-is-2020-fgz,1,2,No,Nein
soep-is,soep-is-2020-fgz,1+99,1,Yes,Ja
soep-is,soep-is-2020-fgz,1+99,2,No,Nein
soep-is,soep-is-2020-fgz,1+99,-1,No answer,Keine Angabe
soep-is,soep-is-2020-fgz,1+992,1,Yes,Ja
soep-is,soep-is-2020-fgz,1+992,2,No,Nein
soep-is,soep-is-2020-fgz,1+992,3,Don’t know,Weiß nicht
soep-is,soep-is-2020-fgz,1+992,-1,No answer,Keine Angabe
soep-is,soep-is-2020-fgz,100,1,This information is correct,Diese Angaben sind richtig
soep-is,soep-is-2020-fgz,100,2,Correct data,Angaben korrigieren
soep-is,soep-is-2020-fgz,200,1,Answer question,Frage beantworten
soep-is,soep-is-2020-fgz,200,2,Do not answer question,Frage nicht beantworten
soep-is,soep-is-2020-fgz,300,1,Correct information,Angabe korrigieren
soep-is,soep-is-2020-fgz,300,2,This information is correct,Angabe ist richtig
soep-is,soep-is-2020-fgz,400,1,Please correct your information.,Bitte korrigieren Sie Ihre Angabe.
soep-is,soep-is-2020-fgz,500,1,Correct amount,Betrag korrigieren
soep-is,soep-is-2020-fgz,500,2,Amount is correct,Betrag ist richtig
soep-is,soep-is-2020-fgz,2,1,I have read and accept the privacy policy.,Ich habe die Datenschutzerklärung gelesen und akzeptiere diese.
soep-is,soep-is-2020-fgz,3,1,Male,Männlich
soep-is,soep-is-2020-fgz,3,2,Female,Weiblich
soep-is,soep-is-2020-fgz,3,3,Divers,Divers
soep-is,soep-is-2020-fgz,3,-1,No answer,Keine Angabe
soep-is,soep-is-2020-fgz,4,1,My partner,Mein Partnerin / mein Partner
soep-is,soep-is-2020-fgz,4,2,My child,Mein Kind
soep-is,soep-is-2020-fgz,4,3,My parents / grandparents / parents-in-law,Meine Eltern / Großeltern / Schwiegereltern
soep-is,soep-is-2020-fgz,4,4,My sister / brother,Meine Schwester / mein Bruder
soep-is,soep-is-2020-fgz,4,5,Other relationship,Sonstige Beziehung
soep-is,soep-is-2020-fgz,4,-1,No answer,Keine Angabe
soep-is,soep-is-2020-fgz,5,1,...my husband / wife,...meine Ehepartnerin/mein Ehepartner
soep-is,soep-is-2020-fgz,5,2,...my same-sex partner in accordance with the Civil Partners Act,...meine gleichgeschlechtliche Partnerin/mein gleichgeschlechtlicher Partner nach dem Lebenspartnergesetz
soep-is,soep-is-2020-fgz,5,3,...my life partner,...meine Lebenspartnerin/mein Lebenspartner
soep-is,soep-is-2020-fgz,5,4,...other,...sonstiges
soep-is,soep-is-2020-fgz,5,-1,No answer,Keine Angabe
soep-is,soep-is-2020-fgz,6,1,...my biological child,...mein leibliches Kind
soep-is,soep-is-2020-fgz,6,2,...my stepchild (child of spouse or civil partner),...mein Stiefkind (Kind der Ehepartnerin/des Ehepartners oder der Lebenspartnerin/des Lebenspartners)
soep-is,soep-is-2020-fgz,6,3,...my adopted child,...mein Adoptivkind
soep-is,soep-is-2020-fgz,6,4,...my foster child,...mein Pflegekind
soep-is,soep-is-2020-fgz,6,5,...my grandchild,...mein Enkelkind
soep-is,soep-is-2020-fgz,6,6,...my great-grandchild,...mein Urenkelkind
soep-is,soep-is-2020-fgz,6,7,...my daughter-in-law/son-in-law,...mein Schwiegertochter/Schwiegersohn
soep-is,soep-is-2020-fgz,6,8,...other,...sonstiges
soep-is,soep-is-2020-fgz,6,-1,No answer,Keine Angabe
soep-is,soep-is-2020-fgz,7,1,...my biological mother/father,...meine leibliche Mutter/mein leiblicher Vater
soep-is,soep-is-2020-fgz,7,2,...my stepmother/stepfather or partner of the biological father/partner of the biological mother,...meine Stiefmutter/mein Stiefvater oder Partnerin des leiblichen Vaters/Partner der leiblichen Mutter
soep-is,soep-is-2020-fgz,7,3,...my adoptive mother/father,...meine Adoptivmutter/mein Adoptivvater
soep-is,soep-is-2020-fgz,7,4,...my foster mother/father,...meine Pflegemutter/mein Pflegevater
soep-is,soep-is-2020-fgz,7,5,...my mother-in-law/father-in-law or one of my partner's parents,...meine Schwiegermutter/mein Schwiegervater oder ein Elternteil des Lebenspartners
soep-is,soep-is-2020-fgz,7,6,...my grandmother/grandfather,...meine Großmutter/mein Großvater
soep-is,soep-is-2020-fgz,7,7,...other,...sonstiges
soep-is,soep-is-2020-fgz,7,-1,No answer,Keine Angabe
soep-is,soep-is-2020-fgz,8,1,...my biological sister / brother,...meine leibliche Schwester/mein leiblicher Bruder
soep-is,soep-is-2020-fgz,8,2,...my half-sister/half-brother (biological child of only one parent),...meine Halbschwester /mein Halbbruder (leibliches Kind nur eines Elternteils)
soep-is,soep-is-2020-fgz,8,3,...my stepsister/stepbrother (child of a parent to whom you are not related by blood),"...meine Stiefschwester/mein Stiefbruder (Kind eines Elternteils, mit dem Sie nicht blutsverwandt sind)"
soep-is,soep-is-2020-fgz,8,4,...my adopted sister/brother,...meine Adoptivschwester/mein Adoptivbruder
soep-is,soep-is-2020-fgz,8,5,...my foster sister/brother,...meine Pflegeschwester/mein Pflegebruder
soep-is,soep-is-2020-fgz,8,6,...other,...sonstiges
soep-is,soep-is-2020-fgz,8,-1,No answer,Keine Angabe
soep-is,soep-is-2020-fgz,9,1,"No, never had children","Nein, hatte nie Kinder"
soep-is,soep-is-2020-fgz,9,3,"[If Q832 - Anchor person,1: & CAWI] No, have no other children outside the household.","[If Q832 - Ankerperson,1: & CAWI] Nein, habe keine weiteren Kinder außerhalb des Haushalts"
soep-is,soep-is-2020-fgz,9,-1,No answer,Keine Angabe
soep-is,soep-is-2020-fgz,10,1,Son,Sohn
soep-is,soep-is-2020-fgz,10,2,Daughter,Tochter
soep-is,soep-is-2020-fgz,10,-1,No answer,Keine Angabe
soep-is,soep-is-2020-fgz,11,1,"[Only If Q832 - anchor person, NOT 1] Here in this household","[Only If Q832 - Ankerperson, NOT 1] Hier im Haushalt"
soep-is,soep-is-2020-fgz,11,2,Here in this town,Hier am Ort
soep-is,soep-is-2020-fgz,11,7,Elsewhere in Germany,Woanders in Deutschland
soep-is,soep-is-2020-fgz,11,5,Abroad,Im Ausland
soep-is,soep-is-2020-fgz,11,6,Deceased,Ist verstorben
soep-is,soep-is-2020-fgz,11,-1,No answer,Keine Angabe
soep-is,soep-is-2020-fgz,12,1,Farm house,Landwirtschaftliches Wohngebäude
soep-is,soep-is-2020-fgz,12,2,Detached house containing 1 or 2 dwellings (one above the other),Freistehendes Ein- / Zweifamilienhaus
soep-is,soep-is-2020-fgz,12,3,Row house or duplex (with one dwelling next to the other),Ein- / Zweifamilienhaus als Reihenhaus oder Doppelhaus
soep-is,soep-is-2020-fgz,12,4,Residential building containing 3 or 4 dwellings,Wohnhaus mit 3 bis 4 Wohnungen
soep-is,soep-is-2020-fgz,12,5,Residential building containing 5 to 8 dwellings,Wohnhaus mit 5 bis 8 Wohnungen
soep-is,soep-is-2020-fgz,12,6,Residential building containing 9 or more dwellings (up to 8 stories),Wohnhaus mit 9 und mehr Wohnungen (aber höchstens 8 Stockwerken also kein Hochhaus)
soep-is,soep-is-2020-fgz,12,7,High-rise building (9 or more stories),Hochhaus (9 und mehr Stockwerke)
soep-is,soep-is-2020-fgz,12,-1,No answer,Keine Angabe
soep-is,soep-is-2020-fgz,13,1,Dormitory for pupils / teenagers / students,Schüler- / Jugendlichen- / Studentenwohnheim
soep-is,soep-is-2020-fgz,13,2,Residence for professionals,Wohnheim für Berufstätige
soep-is,soep-is-2020-fgz,13,3,Retirement home / nursing home / senior residence,Altenheim / Pflegeheim / Seniorenresidenz
soep-is,soep-is-2020-fgz,13,4,Other home / accommodation,Sonstiges Heim / Unterkunft
soep-is,soep-is-2020-fgz,13,-1,No answer,Keine Angabe
soep-is,soep-is-2020-fgz,14,1,Main tenant,Hauptmieter
soep-is,soep-is-2020-fgz,14,2,Subtenant,Untermieter
soep-is,soep-is-2020-fgz,14,3,Owner,Eigentümer
soep-is,soep-is-2020-fgz,15,2,Do not pay rent but do pay utilities,Zahle keine Miete aber Nebenkosten
soep-is,soep-is-2020-fgz,15,3,Do not pay either rent or utilities,Zahle weder Miete noch Nebenkosten
soep-is,soep-is-2020-fgz,15,-1,No answer,Keine Angabe
soep-is,soep-is-2020-fgz,16,1,0 - 350 Euro,0 - 350 Euro
soep-is,soep-is-2020-fgz,16,2,351 - 500 Euro,351 - 500 Euro
soep-is,soep-is-2020-fgz,16,3,501 - 700 Euro,501 - 700 Euro
soep-is,soep-is-2020-fgz,16,4,701 - 1.000 Euro,701 - 1.000 Euro
soep-is,soep-is-2020-fgz,16,5,1.001 Euro and more,1.001 Euro und mehr
soep-is,soep-is-2020-fgz,16,-1,No answer,Keine Angabe
soep-is,soep-is-2020-fgz,17,1,0 - 3.000 Euro,0 - 3.000 Euro
soep-is,soep-is-2020-fgz,17,2,3.001 - 5.000 Euro,3.001 - 5.000 Euro
soep-is,soep-is-2020-fgz,17,3,5.001 - 7.200 Euro,5.001 - 7.200 Euro
soep-is,soep-is-2020-fgz,17,4,7.201 - 12.000 Euro,7.201 - 12.000 Euro
soep-is,soep-is-2020-fgz,17,5,12.001 Euro and more,12.001 Euro und mehr
soep-is,soep-is-2020-fgz,17,-1,No answer,Keine Angabe
soep-is,soep-is-2020-fgz,18,1,0 - 700 Euro,0 - 700 Euro
soep-is,soep-is-2020-fgz,18,2,701 - 1.800 Euro,701 - 1.800 Euro
soep-is,soep-is-2020-fgz,18,3,1.801 - 3.000 Euro,1.801 - 3.000 Euro
soep-is,soep-is-2020-fgz,18,4,3.001 - 7.000 Euro,3.001 - 7.000 Euro
soep-is,soep-is-2020-fgz,18,5,7.001 Euro and more,7.001 Euro und mehr
soep-is,soep-is-2020-fgz,18,-1,No answer,Keine Angabe
soep-is,soep-is-2020-fgz,19,1,0 - 1.600 Euro,0 - 1.600 Euro
soep-is,soep-is-2020-fgz,19,2,1.601 - 4.000 Euro,1.601 - 4.000 Euro
soep-is,soep-is-2020-fgz,19,3,4.001 - 6.500 Euro,4.001 - 6.500 Euro
soep-is,soep-is-2020-fgz,19,4,6.501 - 12.000 Euro,6.501 - 12.000 Euro
soep-is,soep-is-2020-fgz,19,5,12.001 Euro and more,12.001 Euro und mehr
soep-is,soep-is-2020-fgz,19,-1,No answer,Keine Angabe
soep-is,soep-is-2020-fgz,20,1,Don’t know,Weiß nicht
soep-is,soep-is-2020-fgz,20,-1,No answer,Keine Angabe
soep-is,soep-is-2020-fgz,21,1,<250 Euro,Unter 250 Euro
soep-is,soep-is-2020-fgz,21,2,"250 to <1,000 Euro",250 bis unter 1.000 Euro
soep-is,soep-is-2020-fgz,21,3,"1,000 to <2,500 Euro",1.000 bis unter 2.500 Euro
