study,dataset,name,concept,description,description_de,label,label_de,version,template_id,type,case_sensitive_name,categories,categories_de
soep-is,bio,cid,,,,"Case-ID, Original Household Number","Case ID, Ursprungshaushaltsnummer",2019,,byte,,,
soep-is,bio,hid,,,,Current Wave HH Number,Aktuelle Haushaltsnummer,2019,,byte,,,
soep-is,bio,pid,,,,Never Changing Person ID,Unveränderliche Personennummer (PID),2019,,byte,,,
soep-is,bio,syear,,,,Survey-Year,"Survey-Year, Erhebungsjahr",2019,,byte,,,
soep-is,bio,sample1,,,,Sample,Stichprobenkennzeichen (Sample),2019,,byte,,,
soep-is,bio,bintc01,,,,Length In Minutes Oral Interview,mündliche Interviewdauer (Minuten),2019,,byte,,,
soep-is,bio,bintc02,,,,Length In Minutes Written Interview,Selbstausfüllen schriftlich (Minuten),2019,,byte,,,
soep-is,bio,bisc188,,,,3 Digit ISCO-88 Occupation Code,"Berufl. Tätigkeit Einst., ISCO88,3St.",2019,,byte,,,
soep-is,bio,bisco1,,,,3 Digit ISCO Occupation Code,"Berufl. Tätigkeit Einst., ISCO,3St.",2019,,byte,,,
soep-is,bio,biscoh1,,,,1 Digit Occupation Code,Berufl. Tätigkeit Einstieg Hauptgruppen,2019,,byte,,,
soep-is,bio,biscohv,,,,Father: 1 Digit Occupation Code,Berufl. Tätigkeit Vater Hauptgruppen,2019,,byte,,,
soep-is,bio,biscou1,,,,2 Digit Occupation Code,Berufl. Tätigkeit Einstieg Untergruppen,2019,,byte,,,
soep-is,bio,biscouv,,,,Father: 2 Digit Occupation Code,Berufl. Tätigkeit Vater Untergruppen,2019,,byte,,,
soep-is,bio,biscov,,,,3 Digit ISCO-68 Occupation Code,"Berufl. Tätigkeit Vater, ISCO,3St.",2019,,byte,,,
soep-is,bio,biscv88,,,,Father: 3 Digit ISCO Occupation Code,"Berufl. Tätigkeit Vater, ISCO88,3St.",2019,,byte,,,
soep-is,bio,bise188,,,,ISEI-Status88 Ganzeboom,"ISEI-Status,Ganzeboom,ISCo88 Einstieg",2019,,byte,,,
soep-is,bio,bisei1,,,,ISEI-Status Ganzeboom,"ISEI-Status nach Ganzeboom, Einstieg",2019,,byte,,,
soep-is,bio,biseiv,,,,Father:  ISEI-Status Ganzeboom,"ISEI-Status nach Ganzeboom, Vater",2019,,byte,,,
soep-is,bio,bisev88,,,,Father:  ISEI-Status88 Ganzeboom,"ISEI-Status,Ganzeboom,ISCo88 Vater",2019,,byte,,,
soep-is,bio,btre188,,,,"TREIMAN Occupation Prestige Scale, ISCo88","Berufsprestige,Treiman,ISCo88 Einstieg",2019,,byte,,,
soep-is,bio,btreim1,,,,TREIMAN Occupation Prestige Scale,Berufsprestige n.Treiman Einstieg,2019,,byte,,,
soep-is,bio,btreimv,,,,Father: TREIMAN Occupation Prestige Scale,Berufsprestige n.Treiman Vater,2019,,byte,,,
soep-is,bio,btrev88,,,,"Father: TREIMAN Occupation Prestige Scale, ISCo88","Berufsprestige,Treiman,ISCo88 Vater",2019,,byte,,,
soep-is,bio,bwegen1,,,,WEGENER Occupation Prestige Scale,Berufsprestige n.Wegener Einstieg,2019,,byte,,,
soep-is,bio,bwegenv,,,,Father: WEGENER Occupation Prestige Scale,Berufsprestige n.Wegener Vater,2019,,byte,,,
soep-is,bio,l0017,,,,"Year, Moved To West Germany (before 1984)",vor 1984 -Jahr d. Zuzugs in BR,2019,,byte,,,
soep-is,bio,l0018,,,,"Year, Moved To West Germany (after 1984)",nach 1984 -Jahr d. Zuzugs in BR,2019,,byte,,,
soep-is,bio,l0020,,,,Status Upon Migration To Germany,Status bei Einwanderung in Dtschl.,2019,,byte,,,
soep-is,bio,l0021,,,,Residence Status,Status Aufenthaltserlaubnis,2019,,byte,,,
soep-is,bio,l0022,,,,Refugee Residence,Aufenthalt im Aufnahmelager,2019,,byte,,,
soep-is,bio,l0023,,,,Refugee Residence: Weeks,"Aufenthalt im Aufnahmelager, Wochen",2019,,byte,,,
