study,instrument,name,item,text,text_de,answer_list,instruction,instruction_de,description,description_de,filter,goto,concept,scale
soep-is,soep-is-2019,UE1,1,Entry/Screening,Einstieg/Screening,,,,,,,,,
soep-is,soep-is-2019,Q1000,lela,New respondent,Neu zu befragende Person,1+,"Is generated automatically with the creation of a new person, using info from the panel file (with the first survey of adolescent).",Wird anhand der Infos aus der Paneldatei (bei erstmals zu befragenden Jugendlichen) bzw. beim Anlegen einer neuen Person automatisch generiert.,,,,,,
soep-is,soep-is-2019,Q2000,sample,sample of origin,Ursprungssample,4233+,,,,,,,,
soep-is,soep-is-2019,Q4000,name,First name of respondent,Vorname der Befragungsperson,,,,,,,,,
soep-is,soep-is-2019,PA1,lsex,Sex:,Geschlecht:,2+173,,,,,,,lsex,
soep-is,soep-is-2019,PA2,,Your date of birth:,Ihr Geburtsdatum:,,,,,,,,,
soep-is,soep-is-2019,PA2,lgebtag,1 Day,1 Tag,,,,,,,,lgebt,
soep-is,soep-is-2019,PA2,lgebmo,2 Month,2 Monat,,,,,,,,lgebmo,
soep-is,soep-is-2019,PA2,lgeb,3 Year,3 Jahr,,,,,,,,lgeb,
soep-is,soep-is-2019,UE2,1,Household questionnaire,Haushaltsfragebogen,,,,,,,,,
soep-is,soep-is-2019,UE3,1,Dwelling,Wohnhaus und Wohnung,,,,,,,,,
soep-is,soep-is-2019,Q007,hh,Is the respondent the head of household or the person who answers the questions about the household?,"Ist die Befragungsperson der Haushaltsvorstand beziehungsweise die Person, die die Fragen zum Haushalt beantwortet?",4234+,"[INT] The questions on the household should be answered by the person who knows most about the concerns of the total household and the other household members.

If known, that person is identified with * in the Mein Kantar.

Important Note: The questions on the household have to be filled out once for each household. Without this question part all other questions would be useless for data analysis!","[INT] Die Fragen zum Haushalt soll diejenige Person beantworten, die am besten über die Belange des Gesamthaushalts und der anderen Haushaltsmitglieder Auskunft geben kann. 

Sofern bekannt, ist diese Person die in Mein Kantar mit * gekennzeichnet.

Wichtiger Hinweis: Die Fragen zum Haushalt müssen grundsätzlich für jeden Haushalt einmal ausgefüllt werden. Ohne diesen Fragenteil sind alle anderen Fragen für die Datenauswertung unbrauchbar!",,,,2@Q075,hh,
soep-is,soep-is-2019,Q008,,We'll start with questions about your household as a whole.,Zunächst geht es um Fragen zu Ihrem Haushalt als Ganzen.,,,,,,,,,
soep-is,soep-is-2019,Q009,,"For the response of questions on the household it is important, whether there was any change of the housing situation or not.

The first question is about the household composition, hence whether the persons of your household are the same and as well in the same dwelling.","Für die Beantwortung der Fragen zum Haushalt ist es wichtig zu klären, ob sich seit der letzten Befragung des Haushalts eine Veränderung der Wohnsituation ergeben hat, oder ob alles gleich geblieben ist. 

Bei der ersten Frage geht es um die Haushaltszusammensetzung, also ob es sich um dieselben Personen, in derselben Wohnung handelt.",,Please show list xxx!,Bitte Liste xxx vorlegen!,,,,,,
soep-is,soep-is-2019,Q009,hwsit,What applies to your household?,Was trifft auf Ihren Haushalt zu?,4235+,,,,,,,hwsit,
soep-is,soep-is-2019,Q010,,When did you move into this dwelling?,Seit wann leben Sie in dieser Wohnung?,,,,,,,,,
soep-is,soep-is-2019,Q010,hwj,Year,Jahr,,,,,,,,hwj,
soep-is,soep-is-2019,Q010,hwm,Month,Monat,,,,,,,,hwm,
soep-is,soep-is-2019,Q012,hhtyp,What kind of building do you live in?,"Was ist das für ein Haustyp, in dem Sie hier wohnen?",123+173,Please show list xxx!,Bitte Liste xxx vorlegen!,,,,,hhtyp,
soep-is,soep-is-2019,Q013,hwh,"Is it a dormitory, a guesthouse or a similar accommodation?","Handelt es sich um ein Wohnheim, eine Pension oder eine ähnliche Unterkunft?",1+173,,,,,,,hheim,
soep-is,soep-is-2019,Q014,hwhart,What kind of dormitory is it?,Um was für ein Wohnheim handelt es sich?,4132+173,,,,,,,hwhart,
soep-is,soep-is-2019,Q015,hwohn09,"When, approximately, was the building built in which your dwelling is located?","Wann wurde das Haus, in dem Ihre Wohnung liegt, etwa erbaut?",125+173,Please show list xxx!,Bitte Liste xxx vorlegen!,,,,,hwohn09,
soep-is,soep-is-2019,Q016,hbauj,Can you also provide the exact year in which the building was built?,"Können Sie das Jahr, in dem das Haus erbaut wurde, auch genau nennen? ",1+173,,,,,,,hbauj,
soep-is,soep-is-2019,Q016,hwohn09a,"[Yes, namely:] in the year: ","[Ja, und zwar:] im Jahr: ",,,,,,,,hwohn09a,
soep-is,soep-is-2019,Q018,humb,"Has anything changed in terms of the size of your dwelling since our last questionnaire, e.g. because of modification or changed use?","Hat sich seit der letzten Befragung etwas an der Größe Ihrer Wohnung verändert, z.B. durch Umbauten oder veränderte Nutzung? ",1+173,,,,,,,humb,
soep-is,soep-is-2019,Q019,,How large is the total living space in this flat?,Wie groß ist die Wohnfläche dieser Wohnung insgesamt?,,,,,,,,,
soep-is,soep-is-2019,Q019,hqm,sqm,qm,,,,,,,,hqm,
soep-is,soep-is-2019,Q020,pthheiza,Which of the following types of heating do you use in your household?,Welche der folgenden Beheizungsarten nutzen Sie in Ihrem Haushalt?,,Please state all that applies!,Bitte alles Zutreffende angeben.,,,,,,
soep-is,soep-is-2019,Q020,pthheiza1,heating system,Heizungsanlage,,,,,,,,,
soep-is,soep-is-2019,Q020,pthheiza2,Fireplace,Kaminofen,,,,,,,,,
soep-is,soep-is-2019,Q020,pthheiza3,Tiled stove,Kachelofen,,,,,,,,,
soep-is,soep-is-2019,Q020,pthheiza4,Electric heaters,Elektroheizgeräte,,,,,,,,,
soep-is,soep-is-2019,Q020,pthheizaka,,,173,,,,,,,,
soep-is,soep-is-2019,Q021,pthheiza1,For how many rooms do you use the types of heating?,Für wie viele Räume nutzen Sie die Beheizungsarten?,,Please state all that apply!,Bitte alles Zutreffende angeben.,,,,,,
